ISO 3166-1 country code, name, latitude, longitude
MX,Yujía,16.969677,-97.48997
MX,San Pedro,17.148905,-97.460778
MX,Alto,16.807692,-97.053061
MX,Tijaltepec,17.017965,-97.500157
MX,Huixtepec,16.819481,-96.78128
MX,Huitzo,17.277085,-96.886611
MX,Etla,17.141708,-96.751837
MX,Sola de Vega,16.515684,-96.979033
MX,Piedras,16.991107,-97.226619
MX,Peras,16.93903,-97.011191
MX,Ejutla,16.580122,-96.737922
MX,Yucutindoo,16.736439,-97.483107
MX,Sindihui,17.00466,-97.350496
MX,Texmelucan,16.585987,-97.199432
MX,Yuta,17.023496,-97.170895
MX,Quiahije,16.301833,-97.317087
MX,Diuxi,17.285913,-97.370401
MX,Guelache,17.229843,-96.778595
MX,Totomoxtla,17.611544,-96.55983
MX,Nieves,17.627313,-96.56202
MX,Yagavila,17.438299,-96.324442
MX,Zaniza,16.655512,-97.338046
MX,Yolotepec,16.876718,-97.504457
MX,Tataltepec,17.141812,-97.393746
MX,Sola,16.569714,-97.018288
MX,Tlapacoyan,16.743693,-96.836082
MX,Almolongas,16.404287,-96.718563
MX,Trujano,16.992417,-96.712937
MX,Ixtapan,16.37927,-97.279315
MX,Etla,17.215016,-96.769723
MX,Sola,16.515797,-96.974216
MX,Cahuacuá,16.89648,-97.305996
MX,San Fernando,16.842396,-97.153678
MX,Atatlahuca,17.067079,-97.678154
MX,Mixtepec,16.825913,-96.900316
MX,Yucuañe,17.238415,-97.449357
MX,Sinicahua,17.147964,-97.571132
MX,Alto,16.815649,-97.025631
MX,Nuxiño,17.238481,-97.1058
MX,Ixtlahuaca,17.071351,-96.826016
MX,Alto,16.844771,-97.052109
MX,Cabecera Nueva,16.888791,-97.680311
MX,Tlacotepec,17.202355,-97.515988
MX,Etla,17.188492,-96.770824
MX,Amatengo,16.511348,-96.791361
MX,Yólox,17.588249,-96.553141
MX,Tepinapa,17.574818,-96.009804
MX,Ixcatlán,18.145552,-96.510112
MX,Cosamaloapan,18.366778,-95.796344
MX,Tixtla,17.568675,-99.39871
